"Item Name
","Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost",  ,
"20 ounce, Fuze Lemon Tea",CASE (24  1 Each),1,1,20.33,20.33,,
"Gold Peak, Sweetened Tea",CASE (12  1 Each),3,3,15.71,47.13,,
,,,,,,,
Core Power Chocolate,CASE (12  1 Each),2,2,29.65,59.30,,
Core Power Strawberry Banana,CASE (12  1 Each),1,1,29.65,29.65,,
Core Power Vanilla,CASE (12  1 Each),,2,,0.00,,
"Dasani, 20oz",CASE (24  1 Each),2,2,14.47,28.94,,
"Dasani, 8pk -12 OZ(3 per case)",CASE (3  8 Each),2,2,12.26,24.52,,
"Dasani, Liter",CASE (12  1 Liter),1,1,19.48,19.48,,
"Smart Water, 1 Liter",CASE (12  1 Each),6,6,18.00,108.00,,
"Smart Water, 1.5Liter",CASE (12  1 Each),6,6,22.73,136.38,,
"Smart Water, 24oz sport cap",CASE (24  1 Each),4,4,27.05,108.20,,
"Dunkin Donuts Coffee, Orig",CASE (12  1 Each),1,1,24.72,24.72,,
,,,,,,,
14Z Yup Chocolate,CASE (12  14.16 Ounces),1,1,17.51,17.51,,
14Z Yup Strawberry,CASE (12  14.16 Ounces),1,1,17.51,17.51,,
14Z Yup Vanilla,CASE (12  14.16 Ounces),1,1,17.51,17.51,,
,,,,,,,
"Energy, 16oz Monster, Ultra White",CASE (24  1 Each),1,1,39.98,39.98,,
,,,,,,,
"20 Ounce, Sprite Lemonade",CASE (24  1 Each),1,1,20.33,20.33,,
"Dasani Drops, Pink Lemonade",CASE (6  1 Each),,1,,0.00,,
"Dasani Drops, Strawberry Kiwi",CASE (6  1 Each),,1,,0.00,,
"Powerade Lemon Lime, 20oz",CASE (24  1 Each),1,1,23.03,23.03,,
Powerade Mountain Blast 20oz,CASE (24  1 Each),1,1,23.03,23.03,,
Powerade Orange 20oz,CASE (24  1 Each),1,1,23.03,23.03,,
"Powerade Zero, Grape 20oz",CASE (24  1 Each),1,1,23.03,23.03,,
"Powerade Zero, Mixed Berry 20oz",CASE (24  1 Each),1,1,23.03,23.03,,
"Powerade, 28oz Fruit Punch",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 28oz Melon",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 28oz Zero Grape",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 32oz White Cherry",CASE (15  1 Each),1,1,22.13,22.13,,
