"Item Name
",,"Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost"
F'REAL Vanilla,,CASE (12  1 Each),1,1,20.04,20.04
TALENTI layers CHOC CHER,,Case (8  1 Each),1,1,40.16,40.16
TALENTI layers SALTED CAR,,Case (8  1 Each),1,1,40.16,40.16
TALENTI layers VAN Fudge,,Case (8  1 Each),1,1,40.16,40.16
,,,,,,
,,,,,,
Kraft American Singles,,EACH (Each),3,3,4.21,12.63
,,,,,,
,,,,,,
"Odwalla, Blueberry B Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, C Monster 450mL",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mango Tango",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry Banana",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
"Simply, 52z Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, 52z Orange Juice",,CASE (6  1 Each),2,2,22.62,45.24
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, Lemonade 340mL",,CASE (12  1 Each),2,2,14.88,29.76
"Simply, Orange 340mL",,CASE (12  1 Each),2,2,14.88,29.76
"Simply, Raspberry lemonade 340mL",,CASE (12  1 Each),3,3,14.88,44.64
,,,,,,
,,,,,,
"Ben n Jerry's Non-Dairy Pint, PButter Cookie",,Case (8  1 Each),1,1,41.28,41.28
"Ben n Jerry's Pint, Core, Salted Caramel",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Core, The Tonight Dough",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Half Baked Fro Yo",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Peanut Butter Cup",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Sorbet Pucker Upper",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Stephen Colbert Americone Drea",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Strawberry Cheesecake",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Vanilla",,Case (8  1 Each),1,1,28.96,28.96
"Ben n Jerry's Pint, Vanilla Carmel Fudge Swirl",,Case (8  1 Each),1,1,28.96,28.96
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),1,1,31.68,31.68
Magnum Pint Double Choc N Ganache,,CASE (6  1 Each),1,1,29.28,29.28
,,,,,,708.28
,,,,,,0.00
,,,,,,0.00
,,,,,,0.00
,,,,,,708.28
,,,,,,
"Odwalla, Blueberry B Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, C Monster 450mL",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mango Tango",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mo' Beta",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
"Simply, 52z Lemonade",,CASE (6  1 Each),5,5,16.80,84.00
"Simply, 52z Orange Juice",,CASE (6  1 Each),5,5,22.62,113.10
"Simply, 52z Orange with Mango",,CASE (6  1 Each),3,3,22.62,67.86
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),5,5,16.80,84.00
"Simply, Lemonade 340mL",,CASE (12  1 Each),3,3,14.88,44.64
"Simply, Orange 340mL",,CASE (12  1 Each),3,3,14.88,44.64
"Simply, Raspberry lemonade 340mL",,CASE (12  1 Each),3,3,14.88,44.64
,,,,,,
,,,,,,
CPK 12 thin c signature pepp,,CASE (12 2 Fl Ozs),2,2,72.80,145.60
Evol Butternut Squash,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Fire Grill Steak,,Case (8  1 Each),1,1,31.68,31.68
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),1,1,31.68,31.68
TALENTI layers CHOC CHER,,Case (8  1 Each),1,1,40.16,40.16
TALENTI layers SALTED CAR,,Case (8  1 Each),1,1,40.16,40.16
TALENTI layers VAN Fudge,,Case (8  1 Each),1,1,40.16,40.16
,,,,,,
,,,,,,
"Odwalla, C Monster 450mL",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Mango Tango",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Mo' Beta",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Protein Monster Chocolate",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry C Monster",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Superfood",,Case (8  1 Each),2,2,18.40,36.80
"Simply, 52z Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
"Simply, 52z Orange Juice",,CASE (6  1 Each),2,2,22.62,45.24
"Simply, 52z Rasp Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
,,,,,,
,,,,,,
"Ben n Jerry's Pint, Cherry Garcia Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Chocolate Fudge Brownie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Cinnamon Bun",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Coffee Buzz Buzz",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Cookie Dough/Chocolate",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, Peanut Butter Fudge",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Half Baked Ice Cream",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Mint Chocolate Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Phish Food",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Sorbet Pucker Upper",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Wake & Bake",,Case (8  1 Each),1,1,31.60,31.60
Ben n Jerry's Sliced Cookie Dough (sandwich),,CASE (24  1 Each),1,1,33.30,33.30
